subj AGE SEX RACE EDUC WRKSTAT MARITAL EARNRS INCOME RINCOME PARTYID GUNLAW PRES16 SMALLGAP TRCOURTS
113   58   1    1   14       7       5      1     12      NA       0     NA     NA        1        3
114   74   2    1   12       5       3      0      9      NA       1     NA      1       NA       NA
115   70   1    1   16       1       1      2     NA      12       1     NA      1        3        9
116   35   1    1   17       1       1      2     NA      NA       7      1      2       NA       NA
117   65   1    2    8       5       1      0     12      NA       1     NA      1        4        8
118   42   2    1   14       8       1      1     12      NA       3      1      1        2        7
119   48   2    1   13       2       1      2     12       9       5      1     NA        4        6
120   32   1    1   13       1       5      1     12      12       4      1      2       NA       NA
121   56   2    1   12       7       1      1     12      NA       4      1     NA        2        2
122   61   2    1   12       1       1      2     12      12       3      2     NA       NA       NA
123   76   2    1   16       2       2      1     12       9       0      1      1        1        6
124   59   2    1   16       2       1      2     12      12       2      2      1        3        5
125   69   1    1   16       2       5      1     12      12       0      1      1       NA       NA
126   48   1    3   18       1       5      1     12      12       1     NA      1       NA       NA
127   68   2    1   20       1       1      1     12      12       6      1      2       NA       NA
128   39   2    1   16       2       5      1      1      NA       1      1     NA        1        4
129   38   1    1   18       1       1      2     12      12       1      1      1       NA       NA
130   39   2    1   18       1       5      2     12      12       0      1      1        1        6
131   52   2    1   12       7       1      1     NA      NA       3     NA     NA        4        5
132   41   2    1   20       7       1      0     12      NA       1      1     NA       NA       NA
133   60   1    1   17       1       1      1     NA      12       0     NA      1       NA       NA
134   69   1    1   15       1       1      2     NA      12       0      1      1        3        2
135   60   1    1   13       1       1      2     NA      12       0     NA     NA        2        4
136   22   2    3   12       1       5      5     12      NA       3     NA     NA       NA       NA
137   33   1    3   16       6       5      4     12       8       3      2     NA       NA       NA
138   35   2    3   16       1       1      2     12      12       3      2     NA        3        7
139   38   2    1   12       1       1      2     12       8       2     NA     NA        2        5
140   25   2    1   15       1       5      2     12       9       4      1     NA       NA       NA
141   55   1    1   14       1       3      3     12      12       6      1      2        5        5
142   34   1    1   17       2       1      2     11       8       1     NA      1        1        5
143   49   1    3   11       7       3      0     NA      NA       3      1     NA       NA       NA
144   18   1    2   12       6       5      3     10      NA       3     NA     NA       NA       NA
145   56   1    3   12       1       3      1     12      12       0     NA      1        3        8
146   19   1    2   12       1       5      2     12      NA       4      2     NA       NA       NA
147   34   1    2   12       4       5      1     12      12       1     NA     NA       NA       NA
148   26   2    2   17       1       5      1      9       9       3     NA      1        3        2
149   28   1    1   14       6       5      1     12      NA       3      1     NA       NA       NA
150   59   2    1   19       1       4      2     12      12       0     NA      1        2        7
151   39   2    2   16       1       5      3     12      12       2      1     NA        2        3
152   77   2    2   13       5       4      0      4      NA       0      1      1        5        5
153   35   2    2   12       4       5      1      4      NA       3     NA      1        2        5
154   46   2    3   16       1       4      1     12      10       3      1     NA        4        7
155   57   1    3    8       1       5      1      2      12       5     NA     NA        1        8
156   35   2    3   11       1       1      2      9       2       1      1     NA        1        4
157   58   2    1   12       1       4      1     12      12       5      1      1       NA       NA
158   20   2    3   14       2       5      4     12       6       7      2     NA       NA       NA
159   48   2    3    7       1       1      2     10       7       2     NA     NA        3        8
160   51   2    1    2       1       4      1      9       9       3      1     NA       NA       NA
161   18   2    3   11       6       5      2     NA      NA       0      1     NA        3        7
162   18   2    1   12       6       5      3     12      NA       1     NA     NA       NA       NA
163   41   2    3   12       1       1      2     12      12       1      2     NA       NA       NA
164   51   2    3   15       7       1      1      5      NA       1      1     NA        2        5
165   41   2    1    6       7       1      1      3      NA       3      1     NA       NA       NA
166   71   2    1   13       5       5      0     NA      NA       2     NA      1       NA       NA
167   43   1    1    9       1       5      3     12      NA       1      1     NA        2        9
168   53   1    3   16       2       5      2     NA      NA       3      1     NA       NA       NA
169   46   1    1   18       1       5      1     12      12       1      1     NA        3        7
170   36   1    1   13       1       1      2     12      12       0      1     NA       NA       NA
171   19   1    1   12       1       5      2     12       7       4      2     NA        3        6
172   65   1    3   14       2       1      1     12      12       2     NA     NA        2        7
173   60   2    1   13       1       3      1     12      12       6      1      2        3        3
174   63   2    1   16       5       5      1     NA      NA       0     NA      1       NA       NA
175   36   1    1   20       1       1      2     NA      NA       0      1      1        2        4
176   40   2    3   16       7       1      2     12      NA       3     NA     NA        3        7
177   42   2    1   18       1       1      2     NA      12       0      1      1       NA       NA
178   61   1    1   14       1       4      1     12      12       4      2      2        3        6
179   27   1    3   16       1       5      1     12      12       1     NA      1       NA       NA
180   52   1    1   14       7       5      1      9      NA       3      1     NA       NA       NA
181   36   2    2   12       2       5     NA     NA      NA       3      2     NA       NA       NA
182   74   2    1   16       5       3      1      9      NA       2     NA     NA        1        5
183   36   1    1   20       1       5      2     12      12       0      1      1       NA       NA
184   34   1    1   17       1       5      1     12      12       0     NA      1       NA       NA
185   46   1    3   16       1       3      1     12      12       2      1     NA       NA       NA
186   21   2    1   14       6       5      1     12       2       0      1      1        1        3
187   72   2    1   11       5       3      1     12      12       2     NA     NA       NA       NA
188   46   1    3   16       1       1      2     12      12       1      1      1       NA       NA
189   21   2    1   14       6       5      0     NA      NA      NA      1     NA        3        3
190   46   1    3   13       1       5      1     12      12       4     NA     NA       NA       NA
191   53   1    3   12       1       3      4     12      12       6      1      4        3        7
192   74   2    1   18       5       2      1     NA      NA       5      1      4        3        6
193   70   1    1    6       7       3     NA      1      NA       2     NA     NA       NA       NA
194   36   2    3   16       1       1      2     12      12       4      1      3       NA       NA
195   57   1    1   11       5       1      0     10      NA       6     NA     NA        1        5
196   60   1    1   16       1       5      1     12      12       4      1      2       NA       NA
197   53   2    3   12       1       3      2     12      11       6     NA     NA       NA       NA
198   69   1    1   12       1       1      2     12      11       1      1      1       NA       NA
199   38   2    1   16       1       1      3     12      12       1      1      1        2        7
200   48   2    1   14       2       1      3     NA       9       5      1      2       NA       NA
201   30   1    3   16       1       5      1     12      12       4      1     NA       NA       NA
202   29   1    1   13       7       5      2     NA      12       1      1      1       NA       NA
203   68   2    1   16       5       1      1     12      NA       0      2      1        2        7
204   64   2    1   13       7       1      2     12      NA       2      1     NA       NA       NA
205   43   1    3   16       4       1      1     12      NA       3      2     NA        3        9
206   69   2    1   12       5       2      0     12      NA       7     NA     NA       NA       NA
207   47   1    1   12       1       1      4     12      12       4      2     NA       NA       NA
208   57   1    1   12       7       1      2     12      NA       7     NA      2        5        1
209   50   1    1   16       1       1      2     12      NA       1      1      1        1        7
210   25   2    3   12       4       5      2     NA      NA       3     NA      1       NA       NA
